threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.1465,53,0.1651,0.9564,0.9399,0.9234
0.147,53,0.1651,0.9564,0.9399,0.9234
0.1475,53,0.1651,0.9564,0.9399,0.9234
0.148,53,0.1651,0.9564,0.9399,0.9234
0.1485,53,0.1651,0.9564,0.9399,0.9234
0.149,53,0.1651,0.9564,0.9399,0.9234
0.1495,53,0.1651,0.9564,0.9399,0.9234
0.15,53,0.1651,0.9564,0.9399,0.9234
0.1505,53,0.1651,0.9564,0.9399,0.9234
0.151,53,0.1651,0.9564,0.9399,0.9234
0.1515,53,0.1651,0.9564,0.9399,0.9234
0.152,53,0.1651,0.9564,0.9399,0.9234
0.1525,53,0.1651,0.9564,0.9399,0.9234
0.153,52,0.162,0.9533,0.9371,0.9209
0.1535,50,0.1558,0.947,0.9315,0.9159
0.154,50,0.1558,0.947,0.9315,0.9159
0.1545,50,0.1558,0.947,0.9315,0.9159
0.155,50,0.1558,0.947,0.9315,0.9159
0.1555,50,0.1558,0.947,0.9315,0.9159
0.156,50,0.1558,0.947,0.9315,0.9159
0.1565,49,0.1526,0.947,0.9318,0.9165
0.157,49,0.1526,0.947,0.9318,0.9165
0.1575,49,0.1526,0.947,0.9318,0.9165
0.158,49,0.1526,0.947,0.9318,0.9165
0.1585,49,0.1526,0.947,0.9318,0.9165
0.159,49,0.1526,0.947,0.9318,0.9165
0.1595,49,0.1526,0.947,0.9318,0.9165
0.16,49,0.1526,0.947,0.9318,0.9165
0.1605,49,0.1526,0.947,0.9318,0.9165
0.161,49,0.1526,0.947,0.9318,0.9165
0.1615,49,0.1526,0.947,0.9318,0.9165
0.162,49,0.1526,0.947,0.9318,0.9165
0.1625,49,0.1526,0.947,0.9318,0.9165
0.163,49,0.1526,0.947,0.9318,0.9165
0.1635,49,0.1526,0.947,0.9318,0.9165
0.164,49,0.1526,0.947,0.9318,0.9165
0.1645,49,0.1526,0.947,0.9318,0.9165
0.165,49,0.1526,0.947,0.9318,0.9165
0.1655,49,0.1526,0.947,0.9318,0.9165
0.166,49,0.1526,0.947,0.9318,0.9165
0.1665,47,0.1464,0.947,0.9324,0.9178
0.167,47,0.1464,0.947,0.9324,0.9178
0.1675,47,0.1464,0.947,0.9324,0.9178
0.168,47,0.1464,0.947,0.9324,0.9178
0.1685,47,0.1464,0.947,0.9324,0.9178
0.169,46,0.1433,0.947,0.9327,0.9184
0.1695,46,0.1433,0.947,0.9327,0.9184
0.17,45,0.1402,0.9439,0.9299,0.9159
0.1705,45,0.1402,0.9439,0.9299,0.9159
0.171,45,0.1402,0.9439,0.9299,0.9159
0.1715,45,0.1402,0.9439,0.9299,0.9159
0.172,45,0.1402,0.9439,0.9299,0.9159
0.1725,45,0.1402,0.9439,0.9299,0.9159
0.173,45,0.1402,0.9439,0.9299,0.9159
0.1735,45,0.1402,0.9439,0.9299,0.9159
0.174,45,0.1402,0.9439,0.9299,0.9159
