threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.677,4,0.0125,0.9128,0.9115,0.9103
0.6775,4,0.0125,0.9128,0.9115,0.9103
0.678,4,0.0125,0.9128,0.9115,0.9103
0.6785,4,0.0125,0.9128,0.9115,0.9103
0.679,4,0.0125,0.9128,0.9115,0.9103
0.6795,4,0.0125,0.9128,0.9115,0.9103
0.68,4,0.0125,0.9128,0.9115,0.9103
0.6805,4,0.0125,0.9128,0.9115,0.9103
0.681,4,0.0125,0.9128,0.9115,0.9103
0.6815,4,0.0125,0.9128,0.9115,0.9103
0.682,4,0.0125,0.9128,0.9115,0.9103
0.6825,4,0.0125,0.9128,0.9115,0.9103
0.683,4,0.0125,0.9128,0.9115,0.9103
0.6835,4,0.0125,0.9128,0.9115,0.9103
0.684,4,0.0125,0.9128,0.9115,0.9103
0.6845,4,0.0125,0.9128,0.9115,0.9103
0.685,4,0.0125,0.9128,0.9115,0.9103
0.6855,4,0.0125,0.9128,0.9115,0.9103
0.686,4,0.0125,0.9128,0.9115,0.9103
0.6865,4,0.0125,0.9128,0.9115,0.9103
0.687,4,0.0125,0.9128,0.9115,0.9103
0.6875,4,0.0125,0.9128,0.9115,0.9103
0.688,4,0.0125,0.9128,0.9115,0.9103
0.6885,4,0.0125,0.9128,0.9115,0.9103
0.689,4,0.0125,0.9128,0.9115,0.9103
0.6895,4,0.0125,0.9128,0.9115,0.9103
0.69,4,0.0125,0.9128,0.9115,0.9103
0.6905,4,0.0125,0.9128,0.9115,0.9103
0.691,4,0.0125,0.9128,0.9115,0.9103
0.6915,4,0.0125,0.9128,0.9115,0.9103
0.692,4,0.0125,0.9128,0.9115,0.9103
0.6925,4,0.0125,0.9128,0.9115,0.9103
0.693,4,0.0125,0.9128,0.9115,0.9103
0.6935,4,0.0125,0.9128,0.9115,0.9103
0.694,4,0.0125,0.9128,0.9115,0.9103
0.6945,4,0.0125,0.9128,0.9115,0.9103
0.695,4,0.0125,0.9128,0.9115,0.9103
0.6955,4,0.0125,0.9128,0.9115,0.9103
